Date,Open,High,Low,Close,Adj Close,Volume
2001-08-27,0.949999988079071,1.100000023841858,0.800000011920929,0.800000011920929,0.800000011920929,27200
2001-08-28,0.699999988079071,0.8500000238418579,0.699999988079071,0.800000011920929,0.800000011920929,36000
2001-08-29,0.8500000238418579,0.8500000238418579,0.75,0.75,0.75,17000
2001-08-30,0.75,0.75,0.75,0.75,0.75,0
2001-08-31,0.75,0.75,0.75,0.75,0.75,0
2001-09-03,0.75,0.75,0.75,0.75,0.75,0
2001-09-04,0.75,0.75,0.75,0.75,0.75,0
2001-09-05,0.75,0.75,0.75,0.75,0.75,0
2001-09-06,0.75,0.75,0.75,0.75,0.75,0
2001-09-07,0.75,0.75,0.75,0.75,0.75,0
2001-09-10,0.75,0.75,0.75,0.75,0.75,0
2001-09-11,0.75,0.75,0.75,0.75,0.75,0
2001-09-12,0.75,0.75,0.75,0.75,0.75,0
2001-09-13,0.75,0.75,0.75,0.75,0.75,0
2001-09-14,0.75,0.75,0.75,0.75,0.75,0
2001-09-17,0.75,0.75,0.75,0.75,0.75,0
2001-09-18,0.75,0.75,0.75,0.75,0.75,0
2001-09-19,0.75,0.75,0.75,0.75,0.75,0
2001-09-20,0.75,0.75,0.75,0.75,0.75,0
2001-09-21,0.75,0.75,0.75,0.75,0.75,0
2001-09-24,0.75,0.75,0.75,0.75,0.75,0
2001-09-25,0.75,0.75,0.75,0.75,0.75,0
2001-09-26,0.75,0.75,0.75,0.75,0.75,0
2001-09-27,0.75,0.75,0.75,0.75,0.75,0
2001-09-28,0.75,0.75,0.75,0.75,0.75,0
2001-10-01,0.75,0.75,0.75,0.75,0.75,0
2001-10-02,0.75,0.75,0.75,0.75,0.75,0
2001-10-03,0.75,0.75,0.75,0.75,0.75,0
2001-10-04,0.75,0.75,0.75,0.75,0.75,0
2001-10-05,0.75,0.75,0.75,0.75,0.75,0
2001-10-08,0.75,0.75,0.75,0.75,0.75,0
2001-10-09,0.75,0.75,0.75,0.75,0.75,0
2001-10-10,0.75,0.75,0.75,0.75,0.75,0
2001-10-11,0.75,0.75,0.75,0.75,0.75,0
2001-10-12,0.75,0.75,0.75,0.75,0.75,0
2001-10-15,0.75,0.75,0.75,0.75,0.75,0
2001-10-16,0.75,0.75,0.75,0.75,0.75,0
2001-10-17,0.75,0.75,0.75,0.75,0.75,0
2001-10-18,0.75,0.75,0.75,0.75,0.75,0
2001-10-19,0.75,0.75,0.75,0.75,0.75,0
2001-10-22,0.75,0.75,0.75,0.75,0.75,0
2001-10-23,0.75,0.75,0.75,0.75,0.75,0
2001-10-24,0.75,0.75,0.75,0.75,0.75,0
2001-10-25,0.75,0.75,0.75,0.75,0.75,0
2001-10-26,0.75,0.75,0.75,0.75,0.75,0
2001-10-29,0.75,0.75,0.75,0.75,0.75,0
2001-10-30,0.75,0.75,0.75,0.75,0.75,0
2001-10-31,0.75,0.75,0.75,0.75,0.75,0
2001-11-01,0.75,0.75,0.75,0.75,0.75,0
2001-11-02,0.75,0.75,0.75,0.75,0.75,0
2001-11-05,0.75,0.75,0.75,0.75,0.75,0
2001-11-06,0.75,0.75,0.75,0.75,0.75,0
2001-11-07,0.75,0.75,0.75,0.75,0.75,0
2001-11-08,0.75,0.75,0.75,0.75,0.75,0
2001-11-09,0.75,0.75,0.75,0.75,0.75,0
2001-11-12,0.75,0.75,0.75,0.75,0.75,0
2001-11-13,0.75,0.75,0.75,0.75,0.75,0
2001-11-14,0.75,0.75,0.75,0.75,0.75,0
2001-11-15,0.75,0.75,0.75,0.75,0.75,0
2001-11-16,0.75,0.75,0.75,0.75,0.75,0
2001-11-19,0.75,0.75,0.75,0.75,0.75,0
2001-11-20,0.75,0.75,0.75,0.75,0.75,0
2001-11-21,0.75,0.75,0.75,0.75,0.75,0
2001-11-22,0.75,0.75,0.75,0.75,0.75,0
2001-11-23,0.75,0.75,0.75,0.75,0.75,0
2001-11-26,0.75,0.75,0.75,0.75,0.75,0
2001-11-27,0.75,0.75,0.75,0.75,0.75,0
2001-11-28,0.75,0.75,0.75,0.75,0.75,0
2001-11-29,0.75,0.75,0.75,0.75,0.75,0
2001-11-30,0.75,0.75,0.75,0.75,0.75,0
2001-12-03,0.75,0.75,0.75,0.75,0.75,0
2001-12-04,0.75,0.75,0.75,0.75,0.75,0
2001-12-05,0.75,0.75,0.75,0.75,0.75,0
2001-12-06,0.75,0.75,0.75,0.75,0.75,0
2001-12-07,0.75,0.75,0.75,0.75,0.75,0
2001-12-10,0.75,0.75,0.75,0.75,0.75,0
2001-12-11,0.75,0.75,0.75,0.75,0.75,0
2001-12-12,0.75,0.75,0.75,0.75,0.75,0
2001-12-13,0.75,0.75,0.75,0.75,0.75,0
2001-12-14,0.75,0.75,0.75,0.75,0.75,0
2001-12-17,0.75,0.75,0.75,0.75,0.75,0
2001-12-18,0.75,0.75,0.75,0.75,0.75,0
2001-12-19,0.75,0.75,0.75,0.75,0.75,0
2001-12-20,0.75,0.75,0.75,0.75,0.75,0
2001-12-21,0.75,0.75,0.75,0.75,0.75,0
2001-12-24,0.75,0.75,0.75,0.75,0.75,0
2001-12-25,0.75,0.75,0.75,0.75,0.75,0
2001-12-26,0.75,0.75,0.75,0.75,0.75,0
2001-12-27,0.75,0.75,0.75,0.75,0.75,0
2001-12-28,0.75,0.75,0.75,0.75,0.75,0
