Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,929.0,950.0,927.0,930.75,916.5831298828125,1160
2016-01-04,957.5,969.5,920.0,929.0,914.8598022460938,1419
2016-01-05,960.0,980.0,947.0,957.5,942.9259643554688,3449
2016-01-06,965.0,999.0,931.0,964.5,949.8194580078125,2762
2016-01-07,970.0,970.0,921.0,948.25,933.8167724609375,908
2016-01-08,948.0,950.0,937.0,945.0,930.6162719726562,441
2016-01-11,935.0,945.0,902.25,932.0,917.8141479492188,747
2016-01-12,930.0,935.75,902.25,914.0,900.0880737304688,1047
2016-01-13,915.0,916.0,840.0,909.5,895.6566772460938,1213
2016-01-14,841.5,903.5,841.25,895.75,882.1159057617188,1899
2016-01-15,927.25,928.75,840.25,849.5,836.56982421875,949
2016-01-18,800.25,830.0,775.0,795.5,783.3917846679688,1432
2016-01-19,780.0,794.0,722.0,788.75,776.7445678710938,1549
2016-01-20,725.0,725.0,631.0,631.0,621.3956909179688,5866
2016-01-21,600.0,620.0,594.75,594.75,585.6973876953125,5716
2016-01-22,594.75,646.0,594.75,633.25,623.6113891601562,4503
2016-01-25,649.75,667.75,639.75,651.0,641.0911254882812,2894
2016-01-27,685.75,685.75,640.0,650.5,640.5988159179688,1090
2016-01-28,660.0,715.5,630.0,690.0,679.4976196289062,1136
2016-01-29,662.75,695.0,662.5,672.5,662.263916015625,1635
2016-02-01,680.0,696.5,680.0,681.75,671.3731689453125,1085
2016-02-02,671.0,747.0,665.0,710.5,699.6854858398438,1531
2016-02-03,684.0,685.0,665.25,667.25,657.0938720703125,424
2016-02-04,662.0,669.0,645.0,665.0,654.878173828125,919
2016-02-05,641.5,646.25,633.25,641.5,631.7357788085938,139
2016-02-08,690.0,690.0,665.0,665.75,655.6166381835938,186
2016-02-09,688.75,688.75,614.5,623.0,613.5173950195312,734
2016-02-10,688.75,690.0,617.0,617.0,607.608642578125,299
2016-02-11,642.75,642.75,611.0,614.5,605.1467895507812,818
2016-02-12,555.0,614.0,515.0,536.75,528.5802001953125,1763
2016-02-15,570.0,591.25,550.25,584.5,575.6034545898438,998
2016-02-16,579.75,590.25,560.0,587.5,578.5577392578125,760
2016-02-17,564.5,594.0,547.25,574.75,566.0018310546875,344
2016-02-18,569.0,607.0,530.0,534.75,526.610595703125,2181
2016-02-19,510.0,540.0,488.0,540.0,531.7806396484375,559
2016-02-22,523.0,568.5,523.0,566.0,557.3849487304688,294
2016-02-23,570.0,571.0,540.0,540.0,531.7806396484375,406
2016-02-24,520.25,573.0,515.0,568.5,559.846923828125,619
2016-02-25,550.0,570.0,535.25,536.5,528.3340454101562,262
2016-02-26,549.0,550.0,526.0,526.5,518.4862060546875,332
2016-02-29,540.0,550.0,540.0,550.0,541.6285400390625,27
2016-03-01,580.0,580.0,560.0,562.75,554.1845092773438,317
2016-03-02,543.25,600.0,543.25,596.0,586.9283447265625,1016
2016-03-03,575.0,609.75,575.0,595.0,585.943603515625,901
2016-03-04,591.0,609.75,584.0,597.75,588.6517944335938,834
2016-03-08,590.0,614.0,590.0,610.75,601.453857421875,415
2016-03-09,600.0,610.0,600.0,610.0,600.7152709960938,209
2016-03-10,610.0,649.0,610.0,634.0,624.3499755859375,271
2016-03-11,639.0,650.0,634.5,649.75,639.8602294921875,161
2016-03-14,650.5,658.0,620.0,621.75,612.2863159179688,3995
2016-03-15,621.0,639.25,607.0,639.0,629.2738647460938,208
2016-03-16,621.25,637.75,621.0,625.0,615.4869384765625,434
2016-03-17,612.0,647.25,572.0,606.5,597.2685546875,4016
2016-03-18,615.0,615.0,585.0,592.0,582.9892578125,427
2016-03-21,616.25,616.25,591.25,597.5,588.405517578125,158
2016-03-22,610.0,610.0,565.75,581.25,572.4028930664062,499
2016-03-23,580.0,599.75,563.25,580.75,571.910400390625,266
2016-03-28,580.0,590.0,570.0,579.75,570.9256591796875,1106
2016-03-29,590.0,617.75,580.25,611.5,602.1924438476562,1108
2016-03-30,610.25,630.0,596.0,599.25,590.1288452148438,596
2016-03-31,591.5,592.25,591.25,591.5,582.496826171875,166
2016-04-01,590.25,590.25,590.0,590.0,581.0197143554688,124
2016-04-04,592.0,637.0,580.0,629.75,620.1646118164062,291
2016-04-05,610.0,636.0,610.0,620.25,610.8092651367188,204
2016-04-06,630.0,633.5,591.25,600.0,590.8674926757812,756
2016-04-07,623.0,623.0,590.0,612.75,603.4234619140625,2388
2016-04-08,628.25,628.5,606.0,617.0,607.608642578125,596
2016-04-11,630.0,639.75,620.0,630.5,620.9031982421875,389
2016-04-12,653.75,670.0,646.0,662.0,651.923828125,864
2016-04-13,687.75,784.75,685.0,751.75,740.3076782226562,7178
2016-04-18,721.0,730.0,637.25,709.25,698.4545288085938,2419
2016-04-20,715.0,715.0,681.0,700.25,689.5916137695312,898
2016-04-21,703.0,715.0,697.0,699.5,688.8529663085938,353
2016-04-22,702.0,745.0,701.0,732.75,721.5968627929688,2029
2016-04-25,710.5,723.25,704.0,707.75,696.9773559570312,430
2016-04-26,695.25,695.25,642.25,680.75,670.3883666992188,5898
2016-04-27,703.0,718.0,675.0,692.0,681.4671020507812,1715
2016-04-28,705.0,708.5,681.0,689.0,678.5127563476562,1300
2016-04-29,681.0,715.0,681.0,711.0,700.177978515625,443
2016-05-02,690.0,725.5,690.0,723.75,712.7339477539062,920
2016-05-03,700.25,723.25,686.25,692.5,681.9595947265625,336
2016-05-04,695.0,710.0,691.75,708.5,697.716064453125,326
2016-05-05,710.0,710.0,681.0,695.25,684.6677856445312,448
2016-05-06,680.25,690.0,680.0,680.5,670.1422119140625,262
2016-05-09,680.0,709.5,666.0,701.0,690.3301391601562,254
2016-05-10,699.75,705.0,699.75,702.25,691.5610961914062,231
2016-05-11,679.25,706.0,678.5,704.0,693.2844848632812,367
2016-05-12,703.0,703.0,670.0,692.5,681.9595947265625,873
2016-05-13,685.0,708.0,685.0,695.0,684.4214477539062,359
2016-05-16,675.0,721.0,675.0,708.25,697.4698486328125,1478
2016-05-17,693.0,697.0,687.75,694.75,684.17529296875,337
2016-05-18,690.0,694.0,656.0,674.25,663.9873046875,1149
2016-05-19,680.0,684.75,660.0,660.0,649.9541625976562,463
2016-05-20,641.0,687.75,638.0,642.0,632.2282104492188,537
2016-05-23,650.0499877929688,668.25,625.0,628.0999755859375,618.5397338867188,602
2016-05-24,630.0,630.0,611.0,620.0,610.56298828125,200
2016-05-25,630.0,630.0,601.0,610.1500244140625,600.8629760742188,1012
2016-05-26,620.0,699.0,620.0,680.0,669.6498413085938,1648
2016-05-27,665.0499877929688,714.0,665.0499877929688,683.3499755859375,672.94873046875,1262
2016-05-30,631.0999755859375,706.0,631.0999755859375,703.2999877929688,692.5951538085938,1510
2016-05-31,700.0,700.0,640.0,680.1500244140625,669.7975463867188,1237
2016-06-01,690.0,700.0,660.0,662.9500122070312,652.859375,1601
2016-06-02,670.0,671.0,665.9500122070312,670.0,659.802001953125,1007
2016-06-03,693.7000122070312,694.0,670.0,670.0,659.802001953125,336
2016-06-06,675.0,675.0,645.0,660.0,649.9541625976562,447
2016-06-07,643.0499877929688,670.0,643.0499877929688,650.4000244140625,640.5003662109375,804
2016-06-08,635.0,684.9000244140625,621.0499877929688,651.0,641.0911254882812,357
2016-06-09,655.0,670.0,654.0,654.9500122070312,644.9811401367188,168
2016-06-10,660.0,681.9000244140625,637.0,655.5999755859375,645.6211547851562,254
2016-06-13,669.2999877929688,700.0,660.0,676.4000244140625,666.1045532226562,542
2016-06-14,670.0,670.0,654.0999755859375,661.8499755859375,651.7760009765625,427
2016-06-15,651.5,675.0,651.25,665.0,654.878173828125,630
2016-06-16,665.0,698.0,652.0999755859375,664.75,654.6318969726562,129
2016-06-17,650.0499877929688,657.4000244140625,631.5,636.7999877929688,627.1072998046875,794
2016-06-20,659.9500122070312,666.0,643.0,660.0499877929688,650.00341796875,806
2016-06-21,667.0,671.0,667.0,670.0,659.802001953125,270
2016-06-22,675.0,675.0,675.0,675.0,664.7258911132812,30
2016-06-23,652.0499877929688,663.9500122070312,635.0,642.9000244140625,633.114501953125,424
2016-06-24,636.0,670.0,615.0,664.4500122070312,654.3364868164062,429
2016-06-27,670.9500122070312,682.0,670.0,675.9000244140625,665.6121826171875,457
2016-06-28,685.0,725.0,670.0,705.75,695.0078735351562,1804
2016-06-29,733.0,734.5,699.9500122070312,700.0,689.3453979492188,1136
2016-06-30,635.0,718.4500122070312,635.0,700.0,689.3453979492188,1425
2016-07-01,681.0999755859375,716.5,681.0999755859375,700.7000122070312,690.0347290039062,933
2016-07-04,725.0,725.0,680.0,698.0999755859375,687.4741821289062,1132
2016-07-05,690.0,692.0,690.0,690.0,679.4976196289062,792
2016-07-07,680.0,696.9500122070312,680.0,681.0,670.6345825195312,806
2016-07-08,681.0,700.0,680.0,683.1500244140625,672.7518920898438,374
2016-07-11,681.0,699.0,680.0,680.0,669.6498413085938,515
2016-07-12,682.0,727.0,682.0,714.0999755859375,703.2308349609375,1546
2016-07-13,700.0,736.0,691.2999877929688,709.4000244140625,698.602294921875,990
2016-07-14,700.0,701.0,700.0,700.0999755859375,689.4437866210938,225
2016-07-15,704.0,705.0,680.1500244140625,702.0,691.3150024414062,719
2016-07-18,702.0,704.0,690.0,703.0,692.2998046875,478
2016-07-19,700.0,714.4000244140625,680.25,680.25,669.89599609375,796
2016-07-20,702.0,702.0,687.0499877929688,695.3499755859375,684.76611328125,725
2016-07-21,680.5999755859375,685.0,671.25,675.75,665.4645385742188,157
2016-07-22,677.0999755859375,700.0,675.0,696.7999877929688,686.194091796875,218
2016-07-25,690.0,690.0,670.0499877929688,672.3499755859375,662.1162109375,821
2016-07-26,689.0,689.0,675.0,675.0,664.7258911132812,980
2016-07-27,694.0,694.0,670.0499877929688,675.0,664.7258911132812,361
2016-07-28,675.0,680.0,660.0,675.0499877929688,664.7750854492188,291
2016-07-29,670.25,690.0,645.0,690.0,679.4976196289062,688
2016-08-01,675.0499877929688,699.0,675.0499877929688,685.0,674.5736694335938,249
2016-08-02,680.0,694.75,676.0,692.25,684.7120971679688,200
2016-08-03,694.0,694.0,661.0499877929688,662.6500244140625,655.4344482421875,472
2016-08-04,656.0,680.0,656.0,670.0499877929688,662.7537231445312,620
2016-08-05,662.0999755859375,685.0,660.5,669.4500122070312,662.1603393554688,388
2016-08-08,673.0,675.0,650.0,658.9000244140625,651.7252807617188,328
2016-08-09,635.0499877929688,676.4000244140625,635.0499877929688,665.0,657.7588500976562,198
2016-08-10,655.0,669.8499755859375,655.0,666.4500122070312,659.1929931640625,116
2016-08-11,670.0,670.0,540.0,561.2999877929688,555.18798828125,5112
2016-08-12,560.0,580.0,541.0,565.0,558.8477172851562,2414
2016-08-16,560.0499877929688,568.9500122070312,525.0,539.8499755859375,533.9715576171875,1760
2016-08-17,525.0499877929688,542.0,515.0,542.0,536.0982055664062,2112
2016-08-18,526.0499877929688,537.9500122070312,521.0,526.2999877929688,520.569091796875,1828
2016-08-19,525.0,530.0,505.0,510.3999938964844,504.84222412109375,1367
2016-08-22,512.0999755859375,518.9500122070312,509.0,514.2000122070312,508.60089111328125,943
2016-08-23,514.0,577.9500122070312,510.0,571.75,565.5242309570312,1619
