Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,163.0500030517578,163.89999389648438,160.6999969482422,161.64999389648438,161.64999389648438,5167
2023-01-03,161.6999969482422,162.5,160.0,161.3000030517578,161.3000030517578,7263
2023-01-04,161.3000030517578,163.4499969482422,160.0,161.6999969482422,161.6999969482422,11430
2023-01-05,162.4499969482422,163.6999969482422,159.10000610351562,160.64999389648438,160.64999389648438,13018
2023-01-06,160.5,161.64999389648438,158.89999389648438,160.39999389648438,160.39999389648438,6640
2023-01-09,160.39999389648438,164.0,160.3000030517578,162.25,162.25,8327
2023-01-10,161.1999969482422,161.60000610351562,158.35000610351562,158.85000610351562,158.85000610351562,9678
2023-01-11,158.14999389648438,161.6999969482422,158.14999389648438,159.85000610351562,159.85000610351562,2841
2023-01-12,159.35000610351562,160.39999389648438,158.0,158.35000610351562,158.35000610351562,3329
2023-01-13,158.0500030517578,159.89999389648438,156.85000610351562,159.75,159.75,5852
2023-01-16,159.0,160.5500030517578,157.39999389648438,157.64999389648438,157.64999389648438,7123
2023-01-17,157.1999969482422,159.0,155.0,156.35000610351562,156.35000610351562,14477
2023-01-18,156.25,159.75,156.0,156.85000610351562,156.85000610351562,10864
2023-01-19,154.60000610351562,156.6999969482422,153.14999389648438,153.64999389648438,153.64999389648438,10178
2023-01-20,153.14999389648438,154.4499969482422,149.10000610351562,151.5,151.5,17103
2023-01-23,151.5500030517578,153.4499969482422,150.0,152.35000610351562,152.35000610351562,5634
2023-01-24,153.0,153.14999389648438,148.8000030517578,150.6999969482422,150.6999969482422,6387
2023-01-25,149.0,150.4499969482422,146.5500030517578,148.0500030517578,148.0500030517578,11198
2023-01-27,147.0,148.8000030517578,143.0,146.14999389648438,146.14999389648438,13840
2023-01-30,144.0500030517578,150.1999969482422,138.85000610351562,141.14999389648438,141.14999389648438,20030
2023-01-31,141.89999389648438,142.5,141.10000610351562,142.39999389648438,142.39999389648438,5332
2023-02-01,143.10000610351562,145.85000610351562,138.89999389648438,140.3000030517578,140.3000030517578,14695
2023-02-02,138.0,141.0500030517578,131.25,132.25,132.25,36559
2023-02-03,131.1999969482422,135.1999969482422,126.3499984741211,128.1999969482422,128.1999969482422,52073
2023-02-06,126.1500015258789,129.0,125.0999984741211,125.9000015258789,125.9000015258789,20894
2023-02-07,126.55000305175781,129.4499969482422,124.5,127.75,127.75,19051
2023-02-08,128.39999389648438,134.35000610351562,128.0,133.3000030517578,133.3000030517578,18372
2023-02-09,134.0,138.6999969482422,132.3000030517578,135.35000610351562,135.35000610351562,17584
2023-02-10,135.3000030517578,137.39999389648438,131.6999969482422,133.85000610351562,133.85000610351562,14402
2023-02-13,133.25,134.0500030517578,129.4499969482422,131.9499969482422,131.9499969482422,13035
2023-02-14,132.60000610351562,132.64999389648438,129.0,129.8000030517578,129.8000030517578,5554
2023-02-15,128.5,130.5,127.5,128.35000610351562,128.35000610351562,7890
2023-02-16,127.30000305175781,134.0500030517578,125.80000305175781,133.39999389648438,133.39999389648438,25532
2023-02-17,133.3000030517578,134.10000610351562,128.6999969482422,130.10000610351562,130.10000610351562,10325
2023-02-20,130.0500030517578,133.60000610351562,128.5500030517578,130.85000610351562,130.85000610351562,15752
2023-02-21,130.6999969482422,131.5500030517578,128.60000610351562,131.1999969482422,131.1999969482422,17641
2023-02-22,131.85000610351562,131.85000610351562,127.80000305175781,128.85000610351562,128.85000610351562,7709
2023-02-23,129.35000610351562,130.6999969482422,124.25,124.75,124.75,15779
2023-02-24,125.4000015258789,127.0,124.0,125.9000015258789,125.9000015258789,17193
2023-02-27,125.44999694824219,127.69999694824219,124.6500015258789,126.8499984741211,126.8499984741211,9158
2023-02-28,127.19999694824219,128.14999389648438,123.0,126.0999984741211,126.0999984741211,10904
2023-03-01,123.80000305175781,129.75,123.80000305175781,128.39999389648438,128.39999389648438,13365
2023-03-02,128.0,129.8000030517578,124.0,129.35000610351562,129.35000610351562,16176
2023-03-03,130.0,132.89999389648438,126.55000305175781,128.9499969482422,128.9499969482422,15206
2023-03-06,127.0,130.64999389648438,127.0,128.35000610351562,128.35000610351562,18222
2023-03-08,129.0,129.0,123.8499984741211,127.5999984741211,127.5999984741211,18086
2023-03-09,127.5999984741211,146.6999969482422,126.4000015258789,137.8000030517578,137.8000030517578,130799
2023-03-10,136.5,140.1999969482422,136.5,138.35000610351562,138.35000610351562,15758
2023-03-13,137.25,142.85000610351562,135.0,137.1999969482422,137.1999969482422,25526
2023-03-14,137.1999969482422,137.39999389648438,127.05000305175781,128.9499969482422,128.9499969482422,21577
2023-03-15,129.60000610351562,134.14999389648438,128.5,129.85000610351562,129.85000610351562,10162
2023-03-16,128.60000610351562,131.9499969482422,127.55000305175781,130.5500030517578,130.5500030517578,8477
2023-03-17,130.5,136.0,129.0,130.5500030517578,130.5500030517578,16394
2023-03-20,128.9499969482422,129.85000610351562,126.0999984741211,127.5999984741211,127.5999984741211,16522
2023-03-21,128.25,131.4499969482422,127.55000305175781,129.85000610351562,129.85000610351562,15164
2023-03-22,129.8000030517578,130.5,126.19999694824219,128.0,128.0,13565
2023-03-23,128.60000610351562,131.89999389648438,126.69999694824219,130.5500030517578,130.5500030517578,23831
2023-03-24,130.5500030517578,132.9499969482422,125.44999694824219,126.94999694824219,126.94999694824219,19297
2023-03-27,127.5999984741211,128.64999389648438,125.0,126.94999694824219,126.94999694824219,97530
