Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,136.5,147.0,136.5,142.5,142.5,2909
2019-01-02,142.5,142.5,136.5,138.0,138.0,2566
2019-01-03,136.5,142.5,133.5,135.0,135.0,2529
2019-01-04,136.5,139.5,133.5,138.0,138.0,1503
2019-01-07,139.5,141.0,136.5,139.5,139.5,1250
2019-01-08,139.5,150.0,135.0,144.0,144.0,5620
2019-01-09,141.0,148.5,141.0,144.0,144.0,1008
2019-01-10,141.0,144.0,139.5,142.5,142.5,1432
2019-01-11,141.0,154.5,139.5,148.5,148.5,9080
2019-01-14,153.0,153.0,144.0,147.0,147.0,1396
2019-01-15,141.0,151.5,141.0,144.0,144.0,2002
2019-01-16,144.0,148.5,139.5,141.0,141.0,2088
2019-01-17,142.5,144.0,139.5,141.0,141.0,1332
2019-01-18,147.0,147.0,136.5,138.0,138.0,669
2019-01-21,136.5,142.5,136.5,138.0,138.0,2174
2019-01-22,141.0,142.5,136.5,136.5,136.5,1289
2019-01-23,138.0,141.0,135.0,135.0,135.0,1469
2019-01-24,135.0,141.0,135.0,138.0,138.0,1638
2019-01-25,144.0,144.0,132.0,133.5,133.5,3838
2019-01-28,138.0,138.0,126.0,129.0,129.0,1094
2019-01-29,135.0,135.0,123.0,126.0,126.0,2418
2019-01-30,127.5,129.0,120.0,121.5,121.5,2651
2019-01-31,124.5,126.0,120.0,120.0,120.0,3000
2019-02-01,121.5,129.0,120.0,123.0,123.0,1039
2019-02-04,123.0,123.0,117.0,120.0,120.0,2019
2019-02-05,120.0,121.5,109.5,114.0,114.0,1837
2019-02-06,115.5,118.5,91.5,91.5,91.5,19417
2019-02-07,91.5,109.5,85.5,109.5,109.5,6877
2019-02-08,115.5,124.5,97.5,103.5,103.5,7694
2019-02-11,105.0,111.0,88.5,93.0,93.0,6458
2019-02-12,102.0,111.0,90.0,111.0,111.0,10934
2019-02-14,111.0,111.0,102.0,106.5,106.5,1330
2019-02-15,102.0,117.0,100.5,106.5,106.5,1664
2019-02-18,114.0,114.0,94.5,100.5,100.5,3117
2019-02-19,102.0,106.5,97.5,99.0,99.0,929
2019-02-20,100.5,105.0,96.0,96.0,96.0,2350
2019-02-21,103.5,103.5,94.5,97.5,97.5,2292
2019-02-22,97.5,106.5,97.5,103.5,103.5,5131
2019-02-25,106.5,117.0,103.5,114.0,114.0,4238
2019-02-26,112.5,114.0,105.0,106.5,106.5,3098
2019-02-27,109.5,112.5,105.0,106.5,106.5,1514
2019-02-28,109.5,109.5,100.5,105.0,105.0,1030
2019-03-01,105.0,111.0,105.0,109.5,109.5,1785
2019-03-05,111.0,124.5,108.0,120.0,120.0,5751
2019-03-06,123.0,139.5,121.5,138.0,138.0,8239
2019-03-07,138.0,138.0,127.5,130.5,130.5,4407
2019-03-08,133.5,133.5,126.0,129.0,129.0,1930
2019-03-11,129.0,135.0,117.0,121.5,121.5,6018
2019-03-12,127.5,138.0,121.5,133.5,133.5,6326
2019-03-13,132.0,138.0,123.0,129.0,129.0,4275
2019-03-14,133.5,133.5,126.0,130.5,130.5,2667
2019-03-15,139.5,139.5,127.5,130.5,130.5,1096
2019-03-18,126.0,135.0,126.0,130.5,130.5,1655
2019-03-19,132.0,133.5,126.0,127.5,127.5,656
2019-03-20,124.5,129.0,120.0,123.0,123.0,2484
2019-03-22,124.5,147.0,121.5,139.5,139.5,22145
2019-03-25,138.0,142.5,121.5,136.5,136.5,7225
2019-03-26,135.0,135.0,121.5,130.5,130.5,1535
2019-03-27,135.0,138.0,127.5,132.0,132.0,5416
2019-03-28,133.5,141.0,132.0,133.5,133.5,1175
2019-04-01,132.0,136.5,126.0,129.0,129.0,1909
2019-04-02,123.0,135.0,123.0,129.0,129.0,1259
2019-04-03,135.0,135.0,124.5,126.0,126.0,900
2019-04-04,130.5,130.5,124.5,126.0,126.0,646
2019-04-05,132.0,132.0,123.0,127.5,127.5,863
2019-04-08,123.0,127.5,121.5,124.5,124.5,1685
2019-04-09,120.0,130.5,120.0,123.0,123.0,322
2019-04-10,129.0,129.0,120.0,121.5,121.5,447
2019-04-11,120.0,127.5,120.0,127.5,127.5,1893
2019-04-12,130.5,132.0,124.5,129.0,129.0,978
2019-04-15,129.0,133.5,123.0,124.5,124.5,1093
2019-04-16,124.5,130.5,120.0,130.5,130.5,593
2019-04-18,130.5,130.5,124.5,126.0,126.0,702
2019-04-22,121.5,126.0,120.0,120.0,120.0,724
2019-04-23,114.0,120.0,114.0,114.0,114.0,1378
2019-04-24,114.0,115.5,109.5,109.5,109.5,1338
2019-04-25,108.0,114.0,105.0,109.5,109.5,1304
2019-04-26,114.0,114.0,108.0,112.5,112.5,400
2019-04-30,108.0,115.5,108.0,111.0,111.0,487
2019-05-02,106.5,112.5,106.5,109.5,109.5,422
2019-05-03,106.5,111.0,105.0,105.0,105.0,1092
2019-05-06,103.5,106.5,100.5,100.5,100.5,458
2019-05-07,96.0,100.5,96.0,99.0,99.0,2525
2019-05-08,96.0,103.5,94.5,103.5,103.5,4714
2019-05-09,100.5,108.0,99.0,106.5,106.5,866
2019-05-10,105.0,108.0,102.0,103.5,103.5,1440
2019-05-13,108.0,108.0,99.0,103.5,103.5,1964
2019-05-14,99.0,105.0,99.0,99.0,99.0,860
2019-05-15,99.0,103.5,96.0,97.5,97.5,394
2019-05-16,96.0,96.0,93.0,93.0,93.0,1591
2019-05-17,90.0,96.0,88.5,93.0,93.0,701
2019-05-20,91.5,97.5,91.5,97.5,97.5,522
2019-05-21,99.0,99.0,94.5,94.5,94.5,990
2019-05-22,96.0,96.0,91.5,94.5,94.5,339
2019-05-23,93.0,94.5,90.0,90.0,90.0,1404
2019-05-24,90.0,93.0,87.0,91.5,91.5,1129
2019-05-27,90.0,96.0,90.0,96.0,96.0,1218
2019-05-28,100.5,100.5,97.5,100.5,100.5,1239
2019-05-29,105.0,105.0,96.0,96.0,96.0,2065
2019-05-30,97.5,100.5,94.5,99.0,99.0,689
2019-05-31,103.5,103.5,94.5,96.0,96.0,844
2019-06-03,93.0,99.0,91.5,91.5,91.5,4157
2019-06-04,88.5,90.0,87.0,87.0,87.0,4560
2019-06-06,90.0,90.0,84.0,84.0,84.0,3049
2019-06-07,87.0,87.0,81.0,81.0,81.0,1112
2019-06-10,79.5,82.5,78.0,79.5,79.5,985
2019-06-11,82.5,82.5,76.5,82.5,82.5,1946
2019-06-12,81.0,85.5,79.5,85.5,85.5,1447
2019-06-13,88.5,88.5,82.5,84.0,84.0,707
2019-06-14,85.5,85.5,82.5,82.5,82.5,255
2019-06-17,79.5,84.0,79.5,81.0,81.0,1633
2019-06-18,78.0,82.5,78.0,78.0,78.0,233
2019-06-19,75.0,81.0,75.0,75.0,75.0,266
2019-06-20,72.0,75.0,72.0,72.0,72.0,844
2019-06-21,69.0,72.0,69.0,69.0,69.0,921
2019-06-24,69.0,69.0,66.0,66.0,66.0,1168
2019-06-25,66.0,69.0,63.0,63.0,63.0,1540
2019-06-26,63.0,66.0,60.0,63.0,63.0,6281
2019-06-27,63.0,63.0,61.5,63.0,63.0,1669
2019-06-28,61.5,64.5,61.5,61.5,61.5,1445
2019-07-01,60.0,63.0,60.0,60.0,60.0,2777
2019-07-02,61.5,61.5,57.0,57.0,57.0,8788
2019-07-03,55.5,57.0,55.5,55.5,55.5,2452
2019-07-04,54.0,54.0,54.0,54.0,54.0,1306
2019-07-05,52.5,52.5,52.5,52.5,52.5,2070
2019-07-08,51.0,51.0,51.0,51.0,51.0,705
2019-07-09,49.5,49.5,49.5,49.5,49.5,340
2019-07-10,48.0,48.0,48.0,48.0,48.0,604
2019-07-11,46.5,46.5,46.5,46.5,46.5,213
2019-07-12,45.0,45.0,45.0,45.0,45.0,510
2019-07-15,43.5,43.5,43.5,43.5,43.5,81
2019-07-16,42.0,42.0,42.0,42.0,42.0,281
2019-07-17,40.5,40.5,40.5,40.5,40.5,255
2019-07-18,40.5,40.5,39.0,39.0,39.0,462
2019-07-19,37.5,40.5,37.5,37.5,37.5,14729
2019-07-22,36.0,37.5,36.0,36.0,36.0,2774
2019-07-23,36.0,37.5,34.5,36.0,36.0,378
2019-07-24,34.5,37.5,34.5,37.5,37.5,1190
2019-07-25,39.0,39.0,36.0,36.0,36.0,3754
2019-07-26,36.0,36.0,34.5,34.5,34.5,426
2019-07-29,36.0,36.0,33.0,33.0,33.0,1725
2019-07-30,31.5,31.5,31.5,31.5,31.5,360
2019-07-31,30.0,30.0,30.0,30.0,30.0,1426
2019-08-01,28.5,28.5,28.5,28.5,28.5,1682
2019-08-02,27.0,30.0,27.0,30.0,30.0,2427
2019-08-05,31.5,31.5,28.5,28.5,28.5,3376
2019-08-06,28.5,30.0,28.5,30.0,30.0,1423
2019-08-07,31.5,31.5,28.5,30.0,30.0,1584
2019-08-08,31.5,31.5,28.5,31.5,31.5,1054
2019-08-09,33.0,33.0,33.0,33.0,33.0,790
2019-08-13,33.0,34.5,33.0,34.5,34.5,540
2019-08-14,34.5,36.0,34.5,36.0,36.0,212
2019-08-16,37.5,37.5,37.5,37.5,37.5,726
2019-08-19,39.0,39.0,37.5,39.0,39.0,2423
2019-08-20,40.5,40.5,40.5,40.5,40.5,536
2019-08-21,42.0,42.0,39.0,42.0,42.0,1239
2019-08-22,43.5,43.5,40.5,42.0,42.0,747
2019-08-23,42.0,43.5,40.5,42.0,42.0,1491
2019-08-26,40.5,43.5,40.5,40.5,40.5,498
2019-08-27,39.0,40.5,39.0,39.0,39.0,743
2019-08-28,39.0,40.5,37.5,40.5,40.5,875
2019-08-29,42.0,42.0,39.0,39.0,39.0,536
2019-08-30,37.5,40.5,37.5,37.5,37.5,758
2019-09-03,39.0,39.0,36.0,37.5,37.5,660
2019-09-04,36.0,37.5,36.0,36.0,36.0,501
2019-09-05,37.5,37.5,34.5,34.5,34.5,687
2019-09-06,36.0,36.0,33.0,34.5,34.5,441
2019-09-09,36.0,36.0,33.0,34.5,34.5,1087
2019-09-11,36.0,36.0,34.5,36.0,36.0,1082
2019-09-12,36.0,37.5,36.0,37.5,37.5,150
2019-09-13,39.0,39.0,36.0,39.0,39.0,431
2019-09-16,40.5,40.5,37.5,39.0,39.0,800
2019-09-17,39.0,40.5,37.5,39.0,39.0,577
2019-09-18,40.5,40.5,37.5,39.0,39.0,204
2019-09-19,40.5,40.5,37.5,37.5,37.5,337
2019-09-20,36.0,39.0,36.0,37.5,37.5,321
2019-09-23,37.5,39.0,36.0,36.0,36.0,737
2019-09-24,34.5,37.5,34.5,36.0,36.0,1089
2019-09-25,36.0,36.0,34.5,34.5,34.5,335
2019-09-26,33.0,36.0,33.0,33.0,33.0,417
2019-09-27,33.0,34.5,33.0,34.5,34.5,350
2019-09-30,33.0,36.0,33.0,33.0,33.0,1516
2019-10-01,33.0,33.0,31.5,33.0,33.0,155
2019-10-03,31.5,33.0,31.5,33.0,33.0,201
2019-10-04,31.5,31.5,31.5,31.5,31.5,426
2019-10-07,31.5,31.5,31.5,31.5,31.5,67
2019-10-09,30.0,31.5,30.0,30.0,30.0,11
2019-10-10,31.5,31.5,28.5,31.5,31.5,879
2019-10-11,33.0,33.0,30.0,30.0,30.0,82
2019-10-14,31.5,31.5,28.5,30.0,30.0,282
2019-10-15,28.5,30.0,28.5,30.0,30.0,888
2019-10-16,28.5,28.5,28.5,28.5,28.5,289
2019-10-17,27.0,30.0,27.0,28.5,28.5,292
2019-10-18,27.0,30.0,27.0,28.5,28.5,826
